zone_key,Country,Zone Name,year,carbon_intensity_avg,no_hours_with_data
AUS-NSW,Australia,New South Wales,2017,725.9916673740825,5887
AUS-NSW,Australia,New South Wales,2018,717.2494175763907,8629
AUS-NSW,Australia,New South Wales,2019,724.6863533042651,8311
AUS-QLD,Australia,Queensland,2017,766.6911518055545,5887
AUS-QLD,Australia,Queensland,2018,754.8681483410372,8631
AUS-QLD,Australia,Queensland,2019,748.5187481517332,8309
AUS-SA,Australia,South Australia,2017,336.4917456793068,5853
AUS-SA,Australia,South Australia,2018,307.6695494681125,8634
AUS-SA,Australia,South Australia,2019,301.8078060084446,8307
AUS-TAS,Australia,Tasmania,2017,128.63635360843517,5868
AUS-TAS,Australia,Tasmania,2018,86.40150804690977,8635
AUS-TAS,Australia,Tasmania,2019,113.30505937577469,8312
AUS-VIC,Australia,Victoria,2017,682.3460015867348,5886
AUS-VIC,Australia,Victoria,2018,674.8512768314667,8636
AUS-VIC,Australia,Victoria,2019,664.9763699393134,8312
AUS-WA,Australia,Western Australia,2017,611.282675945723,4611
AUS-WA,Australia,Western Australia,2018,602.6911658972439,8760
AUS-WA,Australia,Western Australia,2019,574.6840558951741,5342
BR-CS,Brazil,Central Brazil,2017,143.76075485752426,2236
BR-CS,Brazil,Central Brazil,2018,106.10925227457032,8308
BR-CS,Brazil,Central Brazil,2019,109.01555143315508,8683
BR-N,Brazil,North Brazil,2017,309.3294790185788,2318
BR-N,Brazil,North Brazil,2018,177.2270357859073,8634
BR-N,Brazil,North Brazil,2019,169.40758992814867,8690
BR-NE,Brazil,North-East Brazil,2017,240.0231199127009,2247
BR-NE,Brazil,North-East Brazil,2018,174.4660189246222,8317
BR-NE,Brazil,North-East Brazil,2019,145.57494948931534,8690
BR-S,Brazil,South Brazil,2017,122.91510174800086,2318
BR-S,Brazil,South Brazil,2018,106.34573097875437,8634
BR-S,Brazil,South Brazil,2019,112.83324793941739,8692
CA-AB,Canada,Alberta,2017,600.6660354655905,5948
CA-AB,Canada,Alberta,2018,569.1211086601952,8700
CA-AB,Canada,Alberta,2019,572.1745670287471,6727
CA-NS,Canada,Nova Scotia,2017,557.7545272135166,1254
CA-NS,Canada,Nova Scotia,2018,531.6378675875338,6707
CA-NS,Canada,Nova Scotia,2019,524.0309974419226,4398
CA-ON,Canada,Ontario,2018,51.918979839146715,6188
CA-ON,Canada,Ontario,2019,52.897020064306176,8754
CA-PE,Canada,Prince Edward Island,2017,60.44316022812153,5774
CA-PE,Canada,Prince Edward Island,2018,177.88177555973854,8754
CA-PE,Canada,Prince Edward Island,2019,183.59499466504363,8760
CA-YT,Canada,Yukon,2017,40.982397578516704,4398
CA-YT,Canada,Yukon,2018,72.61218352567707,7798
CA-YT,Canada,Yukon,2019,122.67112838962795,8311
DK-BHM,Denmark,Bornholm,2014,52.07454753016648,1
DK-BHM,Denmark,Bornholm,2015,41.74837660460027,7545
DK-BHM,Denmark,Bornholm,2016,57.02825111166307,7400
DK-BHM,Denmark,Bornholm,2017,44.18208286042041,6399
