zone_key,year,Country,Zone Name,carbon_intensity_avg,no_hours_with_data
AUS-NSW,2017,Australia,New South Wales,725.9916673740825,5887
AUS-NSW,2018,Australia,New South Wales,717.2494175763907,8629
AUS-NSW,2019,Australia,New South Wales,724.6863533042651,8311
AUS-NSW,2020,Australia,New South Wales,676.1,2928
AUS-NSW,2021,Australia,New South Wales,673.88,6553
AUS-QLD,2017,Australia,Queensland,766.6911518055545,5887
AUS-QLD,2018,Australia,Queensland,754.8681483410373,8631
AUS-QLD,2019,Australia,Queensland,748.5187481517332,8309
AUS-QLD,2020,Australia,Queensland,709.96,2928
AUS-QLD,2021,Australia,Queensland,707.96,4879
AUS-SA,2017,Australia,South Australia,336.49174567930686,5853
AUS-SA,2018,Australia,South Australia,307.6695494681125,8634
AUS-SA,2019,Australia,South Australia,301.80780600844463,8307
AUS-SA,2020,Australia,South Australia,232.31,2928
AUS-SA,2021,Australia,South Australia,268.52,6553
AUS-TAS,2017,Australia,Tasmania,128.63635360843514,5868
AUS-TAS,2018,Australia,Tasmania,86.40150804690977,8635
AUS-TAS,2019,Australia,Tasmania,113.30505937577469,8312
AUS-TAS,2020,Australia,Tasmania,259.86,1
AUS-TAS,2021,Australia,Tasmania,89.03,6553
AUS-VIC,2017,Australia,Victoria,682.3460015867348,5886
AUS-VIC,2018,Australia,Victoria,674.8512768314667,8636
AUS-VIC,2019,Australia,Victoria,664.9763699393134,8312
AUS-VIC,2020,Australia,Victoria,600.51,2928
AUS-VIC,2021,Australia,Victoria,580.73,6553
AUS-WA,2017,Australia,Western Australia,611.282675945723,4611
AUS-WA,2018,Australia,Western Australia,602.6911658972439,8760
AUS-WA,2019,Australia,Western Australia,574.6840558951741,5342
AUS-WA,2020,Australia,Western Australia,426.97,2928
AUS-WA,2021,Australia,Western Australia,480.3,6553
BR-CS,2017,Brazil,Central Brazil,143.76075485752423,2236
BR-CS,2018,Brazil,Central Brazil,106.10925227457031,8308
BR-CS,2019,Brazil,Central Brazil,109.01555143315508,8683
BR-CS,2020,Brazil,Central Brazil,132.19,2928
BR-CS,2021,Brazil,Central Brazil,166.03,6553
BR-N,2017,Brazil,North Brazil,309.3294790185788,2318
BR-N,2018,Brazil,North Brazil,177.22703578590733,8634
BR-N,2019,Brazil,North Brazil,169.4075899281487,8690
